epoch,acc,loss,val_acc,val_loss
0,0.5875,0.6616768479347229,0.6484375,0.6150616407394409
1,0.6140625,0.6420007705688476,0.6484375,0.6119519472122192
2,0.621875,0.6263341784477234,0.6484375,0.6081150770187378
3,0.6171875,0.6231956243515014,0.6484375,0.611639142036438
4,0.63125,0.6231446504592896,0.6484375,0.6070576906204224
5,0.6140625,0.6171600818634033,0.6484375,0.608096718788147
6,0.621875,0.6072042346000671,0.6484375,0.606887936592102
7,0.61875,0.6038848161697388,0.6484375,0.6081037521362305
8,0.6375,0.590448546409607,0.6484375,0.6074882745742798
9,0.61875,0.5793178677558899,0.6953125,0.6108279824256897
10,0.68125,0.5457740783691406,0.6796875,0.6194587349891663
11,0.7265625,0.5143593311309814,0.6875,0.6435902118682861
12,0.8,0.44594237208366394,0.6796875,0.7076653242111206
13,0.865625,0.3556154727935791,0.6015625,0.8166938424110413
14,0.90625,0.2536857217550278,0.59375,0.9620822668075562
15,0.9390625,0.1758895605802536,0.6171875,1.0688964128494263
16,0.95625,0.1302498459815979,0.609375,1.1842916011810303
17,0.971875,0.08742506504058838,0.703125,1.5239496231079102
18,0.984375,0.058123867213726046,0.5859375,1.4472944736480713
19,0.9890625,0.03952486775815487,0.6875,1.794930100440979
